,f,imp,feature_name
0,f344,5.0,location_816
1,f168,1.0,location_326
2,f453,237.0,location_1042
3,f452,5.0,location_1038
4,f457,3.0,location_1049
5,f456,2.0,location_1048
6,f161,71.0,location_311
7,f458,4.0,location_1050
8,f163,42.0,location_314
9,f162,3.0,location_313
10,f356,7.0,location_837
11,f145,7.0,location_270
12,f286,164.0,location_653
13,f287,9.0,location_655
14,f281,2.0,location_646
15,f41,109.0,event_type_50
16,f205,2.0,location_450
17,f43,702.0,event_type_54
18,f391,18.0,location_909
19,f45,1.0,event_type_7
20,f201,7.0,location_445
21,f49,136.0,resource_type_1
22,f48,1062.0,resource_type_count
23,f360,270.0,location_846
24,f209,1.0,location_459
25,f292,87.0,location_684
26,f147,11.0,location_276
27,f467,2.0,location_1063
28,f464,1.0,location_1056
29,f381,52.0,location_893
30,f215,14.0,location_467
31,f424,10.0,location_984
32,f425,46.0,location_989
33,f354,187.0,location_834
34,f355,1.0,location_836
35,f352,7.0,location_830
36,f421,179.0,location_976
37,f350,61.0,location_826
38,f297,2.0,location_696
39,f213,1.0,location_465
40,f500,33088.0,loc_rank_relative
41,f428,100.0,location_995
42,f429,2.0,location_998
43,f358,26.0,location_839
44,f359,157.0,location_845
45,f56,615.0,resource_type_8
46,f57,64.0,resource_type_9
47,f54,217.0,resource_type_6
48,f55,251.0,resource_type_7
49,f52,191.0,resource_type_4
50,f50,1241.0,resource_type_2
51,f210,201.0,location_460
52,f51,41.0,resource_type_3
53,f44,8.0,event_type_6
54,f58,45.0,resource_type_10
55,f59,8133.0,count_log_feature
56,f250,1.0,location_509
57,f341,106.0,location_810
58,f436,15.0,location_1014
59,f343,1.0,location_814
60,f434,133.0,location_1010
61,f433,153.0,location_1008
62,f432,12.0,location_1007
63,f347,171.0,location_821
64,f346,24.0,location_818
65,f349,36.0,location_825
66,f348,100.0,location_823
67,f103,10.0,location_149
68,f139,40.0,location_252
69,f101,1.0,location_145
70,f438,11.0,location_1017
71,f222,1.0,location_474
72,f185,3.0,location_380
73,f184,1.0,location_378
74,f182,6.0,location_375
75,f181,1.0,location_373
76,f228,5.0,location_480
77,f229,27.0,location_481
78,f497,1.0,location_1117
79,f189,12.0,location_400
80,f23,40.0,event_type_29
81,f22,2.0,event_type_28
82,f21,23.0,event_type_27
83,f20,32.0,event_type_26
84,f27,627.0,event_type_34
85,f26,11.0,event_type_32
86,f25,40.0,event_type_30
87,f294,20.0,location_691
88,f28,763.0,event_type_35
89,f100,7.0,location_141
90,f267,29.0,location_603
91,f488,104.0,location_1100
92,f40,3.0,event_type_5
93,f486,16.0,location_1097
94,f487,45.0,location_1099
95,f403,6.0,location_938
96,f400,64.0,location_931
97,f401,1.0,location_932
98,f406,7.0,location_943
99,f407,22.0,location_944
100,f132,86.0,location_240
101,f323,75.0,location_760
102,f135,6.0,location_244
103,f334,231.0,location_798
104,f335,3.0,location_802
105,f336,24.0,location_803
106,f337,7.0,location_805
107,f238,1.0,location_495
108,f332,29.0,location_794
109,f499,29943.0,loc_rank_descend
110,f236,1.0,location_493
111,f339,4.0,location_808
112,f498,32236.0,loc_rank_ascend
113,f32,10.0,event_type_40
114,f33,146.0,event_type_42
115,f34,213.0,event_type_43
116,f35,138.0,event_type_44
117,f36,2.0,event_type_45
118,f37,17.0,event_type_46
119,f38,35.0,event_type_47
120,f353,6.0,location_831
121,f125,1.0,location_226
122,f385,1.0,location_897
123,f126,2.0,location_228
124,f384,3.0,location_896
125,f129,1.0,location_236
126,f387,44.0,location_899
127,f245,1.0,location_504
128,f133,1.0,location_242
129,f414,12.0,location_957
130,f416,256.0,location_962
131,f410,1.0,location_948
132,f5,14.0,severity_type_5
133,f248,1.0,location_507
134,f324,129.0,location_763
135,f89,13.0,location_118
136,f6,3206.0,event_type_count
137,f321,25.0,location_756
138,f7,51.0,event_type_10
139,f80,78.0,location_95
140,f83,107.0,location_102
141,f151,8.0,location_283
142,f155,174.0,location_292
143,f158,38.0,location_298
144,f159,53.0,location_300
145,f93,3.0,location_126
146,f90,19.0,location_120
147,f399,119.0,location_925
148,f96,6.0,location_133
149,f97,94.0,location_135
150,f94,1.0,location_128
151,f437,1.0,location_1015
152,f460,162.0,location_1052
153,f390,3.0,location_906
154,f19,18.0,event_type_24
155,f396,142.0,location_921
156,f466,112.0,location_1061
157,f331,19.0,location_793
158,f313,215.0,location_734
159,f316,41.0,location_738
160,f317,2.0,location_742
161,f315,1.0,location_737
162,f253,3.0,location_520
163,f252,6.0,location_519
164,f318,15.0,location_744
165,f319,33.0,location_745
166,f435,18.0,location_1011
167,f494,2.0,location_1112
168,f18,230.0,event_type_23
169,f265,265.0,location_600
170,f491,182.0,location_1107
171,f490,5.0,location_1106
172,f493,7.0,location_1111
173,f12,57.0,event_type_18
174,f10,294.0,event_type_14
175,f11,886.0,event_type_15
176,f16,189.0,event_type_21
177,f17,113.0,event_type_22
178,f14,8.0,event_type_2
179,f15,662.0,event_type_20
180,f0,47353.0,Unnamed: 0
181,f1,2437.0,severity_type_1
182,f2,1728.0,severity_type_2
183,f4,301.0,severity_type_4
184,f380,24.0,location_892
185,f383,108.0,location_895
186,f382,25.0,location_894
187,f8,1670.0,event_type_11
188,f9,340.0,event_type_13
189,f108,19.0,location_159
190,f388,9.0,location_902
191,f107,2.0,location_157
192,f264,44.0,location_599
193,f478,176.0,location_1086
194,f263,6.0,location_584
195,f106,73.0,location_155
196,f471,138.0,location_1075
197,f232,1.0,location_488
198,f477,1.0,location_1084
199,f141,8.0,location_255
200,f269,1.0,location_607
201,f308,16.0,location_714
202,f304,14.0,location_707
203,f301,167.0,location_704
204,f109,2.0,location_161
205,f439,20.0,location_1018
206,f69,6.0,location_9
207,f67,33.0,location_7
208,f65,16.0,location_1
209,f64,25193.0,location_count
210,f63,12236.0,min_log_feature
211,f62,18974.0,mean_log_feature
212,f61,17111.0,median_log_feature
213,f60,12283.0,max_log_feature
214,f446,21.0,location_1030
215,f447,51.0,location_1031
216,f445,5.0,location_1026
217,f342,4.0,location_812
218,f440,126.0,location_1019
219,f179,1.0,location_369
220,f172,20.0,location_344
221,f448,14.0,location_1033
222,f271,83.0,location_613
223,f273,28.0,location_619
